iter	Passed	Remaining
0	3	3711
1	8	4173
2	12	4098
3	16	4079
4	20	4108
5	24	4037
6	28	3976
7	31	3901
8	35	3882
9	39	3913
10	42	3855
11	46	3831
12	50	3810
13	55	3939
14	59	3923
15	63	3914
16	67	3906
17	73	4011
18	78	4047
19	81	4011
20	85	3991
21	89	3972
22	93	3973
23	97	3972
24	101	3977
25	105	3966
26	109	3951
27	113	3934
28	116	3911
29	120	3890
30	124	3877
31	127	3871
32	131	3856
33	135	3853
34	139	3840
35	143	3834
36	147	3829
37	150	3809
38	153	3790
39	157	3782
40	163	3813
41	167	3812
42	171	3807
43	175	3807
44	179	3802
45	182	3793
46	186	3785
47	190	3774
48	193	3763
49	197	3755
50	201	3756
51	205	3750
52	209	3747
53	213	3744
54	217	3734
55	220	3721
56	224	3719
57	228	3711
58	230	3683
59	234	3675
60	238	3669
61	242	3673
62	246	3664
63	250	3661
64	254	3663
65	258	3658
66	263	3664
67	268	3675
68	271	3668
69	276	3667
70	279	3659
71	283	3658
72	287	3649
73	290	3639
74	294	3629
75	297	3620
76	301	3612
77	305	3609
78	308	3600
79	312	3593
80	316	3588
81	319	3580
82	323	3572
83	326	3564
84	330	3557
85	334	3558
86	338	3551
87	341	3543
88	346	3542
89	351	3551
90	355	3552
91	359	3545
92	363	3540
93	366	3533
94	370	3526
95	373	3518
96	377	3514
97	379	3496
98	383	3488
99	386	3482
100	391	3484
101	395	3477
102	399	3477
103	403	3473
104	406	3466
105	410	3460
106	414	3455
107	417	3449
108	422	3451
109	426	3452
110	431	3457
111	437	3469
112	443	3480
113	447	3474
114	450	3470
115	455	3468
116	458	3463
117	462	3460
118	466	3456
119	471	3454
120	474	3447
121	478	3445
122	482	3438
123	486	3436
124	490	3431
125	493	3425
126	497	3421
127	501	3417
128	505	3413
129	508	3405
130	512	3402
131	516	3397
132	520	3393
133	524	3388
134	528	3383
135	531	3378
136	535	3373
137	540	3377
138	545	3376
139	549	3373
140	553	3370
141	556	3364
142	560	3359
143	565	3360
144	569	3359
145	573	3354
146	577	3350
147	581	3349
148	585	3343
149	588	3335
150	592	3330
151	596	3329
152	600	3323
153	604	3318
154	607	3314
155	611	3306
156	615	3304
157	619	3301
158	623	3298
159	630	3311
160	635	3313
161	640	3310
162	644	3309
163	648	3304
164	651	3298
165	656	3296
166	659	3291
167	663	3286
168	666	3279
169	671	3276
170	674	3270
171	678	3266
172	682	3261
173	686	3257
174	690	3253
175	693	3248
176	697	3245
177	702	3242
178	705	3238
179	709	3231
180	713	3228
181	718	3230
182	723	3228
183	727	3224
184	731	3221
185	735	3216
186	738	3211
187	742	3206
188	746	3201
189	749	3196
190	753	3191
191	757	3186
192	760	3181
193	764	3177
194	768	3173
195	772	3168
196	776	3164
197	779	3158
198	783	3153
199	787	3148
200	789	3139
201	793	3134
202	797	3129
203	800	3124
204	804	3121
205	808	3116
206	812	3112
207	816	3108
208	821	3108
209	826	3107
210	828	3099
211	833	3097
212	836	3092
213	840	3088
214	844	3083
215	848	3077
216	851	3071
217	854	3066
218	858	3061
219	861	3055
220	865	3050
221	869	3045
222	872	3041
223	876	3037
224	880	3033
225	883	3027
226	887	3022
227	891	3018
228	895	3013
229	898	3008
230	902	3003
231	908	3006
232	913	3007
233	917	3004
234	922	3002
235	926	2999
236	930	2995
237	934	2990
238	937	2986
239	943	2987
240	948	2985
241	953	2985
242	958	2984
243	962	2981
244	967	2981
245	971	2978
246	975	2974
247	979	2971
248	983	2967
249	987	2962
250	991	2957
251	995	2954
252	1000	2954
253	1005	2951
254	1009	2950
255	1014	2948
256	1020	2949
257	1024	2946
258	1028	2942
259	1032	2937
260	1035	2932
261	1039	2927
262	1043	2922
263	1046	2918
264	1050	2914
265	1055	2911
266	1059	2907
267	1063	2904
268	1067	2901
269	1072	2900
270	1076	2896
271	1080	2891
272	1084	2887
273	1088	2884
274	1093	2883
275	1098	2880
276	1103	2879
277	1108	2878
278	1113	2878
279	1118	2877
280	1124	2877
281	1130	2877
282	1135	2876
283	1139	2872
284	1143	2867
285	1147	2863
286	1151	2859
287	1155	2855
288	1159	2852
289	1163	2848
290	1167	2845
291	1172	2842
292	1176	2839
293	1181	2837
294	1187	2837
295	1192	2836
296	1197	2833
297	1202	2831
298	1205	2826
299	1209	2822
300	1213	2817
301	1217	2812
302	1220	2808
303	1224	2803
304	1230	2804
305	1234	2798
306	1238	2795
307	1242	2790
308	1245	2786
309	1249	2781
310	1253	2777
311	1259	2776
312	1263	2772
313	1267	2768
314	1271	2764
315	1274	2758
316	1278	2754
317	1282	2749
318	1285	2744
319	1289	2740
320	1293	2735
321	1297	2731
322	1301	2727
323	1305	2722
324	1309	2718
325	1313	2714
326	1317	2711
327	1321	2707
328	1325	2703
329	1329	2698
330	1333	2694
331	1337	2690
332	1341	2686
333	1347	2687
334	1352	2684
335	1356	2680
336	1360	2676
337	1363	2671
338	1367	2666
339	1371	2662
340	1375	2658
341	1379	2653
342	1383	2649
343	1387	2645
344	1390	2640
345	1394	2635
346	1398	2631
347	1402	2627
348	1406	2622
349	1409	2618
350	1413	2614
351	1418	2610
352	1422	2607
353	1426	2603
354	1430	2599
355	1436	2598
356	1440	2594
357	1444	2590
358	1448	2586
359	1452	2582
360	1456	2577
361	1460	2573
362	1463	2568
363	1467	2564
364	1471	2559
365	1475	2555
366	1478	2550
367	1482	2546
368	1486	2542
369	1490	2537
370	1494	2533
371	1498	2530
372	1502	2525
373	1506	2521
374	1510	2517
375	1514	2513
376	1518	2509
377	1523	2507
378	1529	2505
379	1533	2502
380	1537	2497
381	1540	2492
382	1545	2489
383	1548	2484
384	1552	2480
385	1556	2476
386	1560	2471
387	1564	2467
388	1567	2462
389	1571	2458
390	1575	2453
391	1578	2448
392	1582	2444
393	1585	2439
394	1589	2434
395	1593	2430
396	1596	2425
397	1600	2420
398	1602	2413
399	1605	2408
400	1609	2403
401	1612	2398
402	1616	2394
403	1619	2389
404	1624	2386
405	1629	2384
406	1633	2380
407	1637	2376
408	1641	2372
409	1645	2368
410	1649	2364
411	1653	2359
412	1656	2354
413	1660	2350
414	1664	2346
415	1668	2342
416	1672	2337
417	1675	2333
418	1679	2328
419	1683	2324
420	1687	2320
421	1690	2315
422	1694	2312
423	1699	2308
424	1702	2303
425	1706	2298
426	1709	2294
427	1715	2292
428	1719	2289
429	1723	2284
430	1727	2280
431	1732	2277
432	1736	2273
433	1740	2269
434	1744	2265
435	1747	2260
436	1751	2256
437	1755	2252
438	1758	2247
439	1762	2243
440	1766	2239
441	1770	2234
442	1774	2231
443	1778	2226
444	1781	2222
445	1785	2218
446	1789	2213
447	1793	2209
448	1797	2205
449	1801	2201
450	1806	2199
451	1809	2194
452	1813	2189
453	1817	2185
454	1821	2181
455	1824	2176
456	1828	2172
457	1832	2168
458	1835	2163
459	1839	2159
460	1843	2155
461	1847	2151
462	1851	2146
463	1854	2142
464	1858	2138
465	1862	2134
466	1866	2129
